base_score,[481.97416918]
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.099]",47.86697986995524
"(0.099, 0.298]",14.569387054197108
"(0.298, 0.465]",-2.8079399352988643
"(0.465, 0.982]",-23.355389403292314
"(0.982, 1.0]",-10.566739924798725
"(1.0, inf]",-44.097785440652586
age,Score
"(-inf, 36.0]",-4.158200600897719
"(36.0, 54.0]",-2.2006321911050453
"(54.0, 61.0]",1.9590980218406886
"(61.0, 74.0]",7.984857924035239
"(74.0, inf]",13.537198550145336
DebtRatio,Score
"(-inf, 0.0174]",30.624559988948867
"(0.0174, 0.503]",-0.23179728498624025
"(0.503, 1.472]",-9.530518518266163
"(1.472, inf]",3.548612381428484
MonthlyIncome,Score
"(-inf, 0.109]",21.165155626426095
"(0.109, 5594.0]",-3.552106672147849
"(5594.0, inf]",3.4751292017289157
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-6.286402691742976
"(1.0, 3.0]",-2.4188309752053
"(3.0, 5.0]",-0.3744763897276487
"(5.0, 17.0]",0.9086007802867436
"(17.0, inf]",3.44142183836892
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.610509535098188
"(0.0, 1.0]",-13.881074839113992
"(1.0, 2.0]",-21.944240582109742
"(2.0, inf]",-24.550654455293202
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.899705851859167
"(0.0, 1.0]",-29.045918546856026
"(1.0, 2.0]",-37.24892722465108
"(2.0, inf]",-39.74533038982611
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.13973281550831
"(0.0, 1.0]",5.01557041332753
"(1.0, 2.0]",15.901911258726622
"(2.0, 4.0]",9.941592373351572
"(4.0, inf]",-7.478754844618519
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",0.9952068098563907
"(0.0, 1.0]",-11.102520044213396
"(1.0, 2.0]",-14.20323154931771
"(2.0, inf]",-14.508033207778247
NumberOfDependents,Score
"(-inf, 0.0]",14.759838620565542
"(0.0, 1.0]",-13.701765757215616
"(1.0, 2.0]",-12.440619827352302
"(2.0, inf]",-11.213889478431856
